x,y
-2.411798954010009766e+00,2.191976165771484375e+01
5.001085281372070312e+00,8.403972778320312500e+02
5.316596984863281250e+00,1.018246948242187500e+03
-4.771886825561523438e+00,5.290477905273437500e+02
3.995198249816894531e+00,3.639433288574218750e+02
-9.848208427429199219e-01,1.123172378540039062e+01
3.107900619506835938e+00,1.603939971923828125e+02
4.466154098510742188e+00,4.974234313964843750e+02
3.506922721862792969e+00,2.044013061523437500e+02
4.640003204345703125e+00,7.848249511718750000e+02
-1.463374614715576172e+00,2.317479705810546875e+01
4.863880157470703125e+00,7.383765869140625000e+02
5.751307487487792969e+00,1.535265625000000000e+03
-1.678899288177490234e+00,2.767438888549804688e+01
2.562951087951660156e+00,3.653014373779296875e+01
2.989010810852050781e-01,-9.116893768310546875e+00
-8.445262908935546875e-03,-1.063941940665245056e-01
1.871883392333984375e+00,5.681494750976562500e+02
-2.605926036834716797e+00,1.815826225280761719e+01
4.798304557800292969e+00,6.516976318359375000e+02
2.525680541992187500e+00,5.171985244750976562e+01
-4.522881031036376953e+00,2.839067077636718750e+02
-3.389168739318847656e+00,1.334558105468750000e+01
-6.019854545593261719e-01,7.140341401100158691e-01
-3.556520938873291016e+00,1.304154357910156250e+02
4.697275161743164062e-01,-1.208769607543945312e+01
-3.537395000457763672e+00,1.777586364746093750e+01
-5.954198360443115234e+00,7.182494506835937500e+02
-4.457746505737304688e+00,3.557817993164062500e+02
3.829626083374023438e+00,3.107935180664062500e+02
1.927289962768554688e+00,-9.050557136535644531e+00
4.617090225219726562e+00,6.057904663085937500e+02
2.491683959960937500e+00,3.315501403808593750e+01
4.201351165771484375e+00,4.825137023925781250e+02
-4.879121303558349609e+00,4.158456726074218750e+02
-1.028460502624511719e+00,1.907699394226074219e+01
-1.351144790649414062e+00,1.875554084777832031e+01
-4.131894111633300781e+00,2.351217346191406250e+02
-1.978301048278808594e+00,3.589034318923950195e+00
-1.801112174987792969e+00,9.653049468994140625e+00
8.142271041870117188e-01,-1.871662139892578125e+01
-3.882597923278808594e+00,1.570042572021484375e+02
-5.118717193603515625e+00,5.741894531250000000e+02
1.349299430847167969e+00,-2.007543945312500000e+01
-2.886284351348876953e+00,5.117854309082031250e+01
5.204278945922851562e+00,8.397103881835937500e+02
1.188901901245117188e+00,-2.149065399169921875e+01
5.359359741210937500e+00,1.486676757812500000e+03
-2.504182338714599609e+00,3.723820495605468750e+01
-3.199160099029541016e+00,2.460146427154541016e+00
-4.261192321777343750e+00,3.123280334472656250e+02
-1.525492668151855469e+00,1.964687347412109375e+01
5.170991897583007812e+00,1.128836669921875000e+03
4.868658065795898438e+00,7.473247070312500000e+02
2.214200019836425781e+00,2.765759086608886719e+01
3.179425239562988281e+00,2.213570098876953125e+02
-5.809097766876220703e+00,1.212886714935302734e+01
-4.892463207244873047e+00,2.670435485839843750e+02
1.876741409301757812e+00,-1.052890110015869141e+01
-5.422238826751708984e+00,4.962692871093750000e+02
-5.191343784332275391e+00,5.942681274414062500e+02
-9.594678878784179688e-01,7.910968780517578125e+00
-4.879970550537109375e+00,2.483923950195312500e+02
-4.219326019287109375e+00,3.384196166992187500e+02
5.350197792053222656e+00,1.051579711914062500e+03
-3.211968421936035156e+00,1.434387054443359375e+02
-4.707441329956054688e+00,3.446529541015625000e+02
2.346881866455078125e+00,7.668727397918701172e+00
1.502194404602050781e-01,-9.565140724182128906e+00
5.337486267089843750e+00,9.855549926757812500e+02
2.997064590454101562e-01,-6.242013931274414062e+00
-1.824329376220703125e+00,9.467725753784179688e+00
1.642444610595703125e+00,-2.035803222656250000e+01
-3.001754999160766602e+00,6.438488006591796875e+01
3.222019195556640625e+00,1.301067504882812500e+02
-3.780779361724853516e+00,9.937124633789062500e+01
3.127779960632324219e+00,1.166457595825195312e+02
3.547645568847656250e+00,2.072018432617187500e+02
4.340416908264160156e+00,4.227361755371093750e+02
-4.377903461456298828e+00,1.538130035400390625e+02
-2.545427322387695312e+00,5.783879089355468750e+01
2.847517967224121094e+00,4.941877746582031250e+01
-1.399614334106445312e+00,3.022225189208984375e+01
-3.088316679000854492e+00,4.124003982543945312e+01
2.141341209411621094e+00,-3.247484683990478516e+00
-5.657472133636474609e+00,4.083818664550781250e+02
5.535240173339843750e-01,-1.076677036285400391e+01
-3.937749624252319336e+00,6.734455871582031250e+01
-4.762279510498046875e+00,4.524497680664062500e+02
-3.058943748474121094e+00,-5.344834518432617188e+01
4.877386093139648438e-01,-9.263088226318359375e+00
-5.571269035339355469e+00,7.139993896484375000e+02
2.533741950988769531e+00,2.733639144897460938e+01
1.012091159820556641e+00,-2.259273719787597656e+01
4.903659820556640625e+00,8.977178344726562500e+02
5.246154785156250000e+00,1.025996826171875000e+03
-2.017776489257812500e+00,5.006713485717773438e+01
3.142373085021972656e+00,1.033617935180664062e+02
-5.229256153106689453e+00,5.361743774414062500e+02
4.515202522277832031e+00,5.575775146484375000e+02
5.004679679870605469e+00,1.062934082031250000e+03
-1.162853717803955078e+00,2.145769119262695312e+01
-4.260015487670898438e-02,3.211115837097167969e+00
-5.806348323822021484e+00,7.386617431640625000e+02
-5.904553413391113281e+00,5.747270507812500000e+02
1.964946269989013672e+00,-8.081707954406738281e+00
-1.936151504516601562e+00,1.432128620147705078e+01
3.051609992980957031e-01,-1.888216972351074219e+01
-3.622277736663818359e+00,1.064870910644531250e+02
1.025391578674316406e+00,-1.557798480987548828e+01
-4.837810516357421875e+00,3.249581909179687500e+02
3.186328887939453125e+00,8.926476287841796875e+01
-4.630358695983886719e+00,2.678781738281250000e+02
2.576369285583496094e+00,2.719360923767089844e+01
-2.950181722640991211e+00,4.340823364257812500e+01
3.483110427856445312e+00,1.594190368652343750e+02
-3.637139081954956055e+00,2.697789955139160156e+01
9.037494659423828125e-01,-2.246098327636718750e+01
-5.625078201293945312e+00,4.962510986328125000e+02
2.480074882507324219e+00,1.859209251403808594e+01
-2.913354396820068359e+00,8.261904144287109375e+01
-1.424339771270751953e+00,1.511560821533203125e+01
5.845988273620605469e+00,1.550631225585937500e+03
-9.274344444274902344e-01,2.074070215225219727e+00
2.492801666259765625e+00,3.716689300537109375e+01
-3.512270927429199219e+00,2.308138656616210938e+01
-8.393940925598144531e-01,4.971297740936279297e+00
-1.371008872985839844e+00,2.944926261901855469e+01
1.806314468383789062e+00,-1.057046985626220703e+01
2.701217651367187500e+00,7.480421447753906250e+01
-4.357501506805419922e+00,3.215230102539062500e+02
-5.345075130462646484e+00,4.686731567382812500e+02
-4.236261367797851562e+00,1.485258789062500000e+02
3.710749626159667969e+00,2.296205444335937500e+02
2.909444808959960938e+00,1.438217926025390625e+02
-4.852432727813720703e+00,4.471719055175781250e+02
-5.992736816406250000e-01,1.026864719390869141e+01
-5.983466148376464844e+00,8.037229003906250000e+02
-5.828551292419433594e+00,8.434902343750000000e+02
-5.963477134704589844e+00,1.237501708984375000e+03
2.107686042785644531e+00,-6.300580024719238281e+00
-2.924968719482421875e+00,5.686619567871093750e+01
-4.066137313842773438e+00,1.198584976196289062e+02
-3.284345388412475586e+00,1.264372634887695312e+02
-5.642700195312500000e-02,-1.733837699890136719e+01
-1.282197475433349609e+00,2.115923309326171875e+01
4.154855728149414062e+00,4.091170349121093750e+02
5.055342674255371094e+00,9.618906860351562500e+02
-4.654027938842773438e+00,4.329945068359375000e+02
4.671464920043945312e+00,6.466605224609375000e+02
-5.134387016296386719e+00,6.402446289062500000e+02
-5.529099464416503906e+00,6.696434326171875000e+02
3.343711853027343750e+00,1.197239456176757812e+02
5.421009063720703125e-01,-1.042278766632080078e+01
-3.575737714767456055e+00,2.050985565185546875e+02
-4.528369903564453125e-01,5.359281063079833984e+00
6.764221191406250000e-02,-1.121492767333984375e+01
